seed,row,column,method,iter,time,of,feseable
25,6,6,solver,17,14.57325578,33281,1
26,6,6,solver,17,13.63922381,40477,1
27,6,6,solver,17,16.95081687,42858,1
28,6,6,solver,17,6.030885935,42935,1
29,6,6,solver,17,15.59030104,37927,1
0,6,6,solver,18,4.176732779,30310,1
1,6,6,solver,18,2.974090338,41016,1
2,6,6,solver,18,20.2723639,41242,1
3,6,6,solver,18,3.509071112,41642,1
4,6,6,solver,18,6.163115025,41385,1
5,6,6,solver,18,4.025104284,37774,1
6,6,6,solver,18,2.836032867,36957,1
7,6,6,solver,18,7.878225327,42042,1
8,6,6,solver,18,4.716062546,49053,1
9,6,6,solver,18,7.770122051,35699,1
10,6,6,solver,18,5.10915494,32610,1
11,6,6,solver,18,2.181460381,49682,1
12,6,6,solver,18,2.579726696,38181,1
13,6,6,solver,18,5.341140032,32130,1
14,6,6,solver,18,1.950330257,30130,1
15,6,6,solver,18,0.419024706,32192,1
16,6,6,solver,18,2.166052341,33630,1
17,6,6,solver,18,22.26738048,42412,1
18,6,6,solver,18,9.091166019,35612,1
19,6,6,solver,18,40.18872619,50043,1
20,6,6,solver,18,4.44017911,32221,1
21,6,6,solver,18,25.57879829,49160,1
22,6,6,solver,18,4.066620827,36813,1
23,6,6,solver,18,5.889135838,31450,1
24,6,6,solver,18,12.00328517,39501,1
25,6,6,solver,18,13.99521399,33281,1
26,6,6,solver,18,13.80324268,40477,1
27,6,6,solver,18,16.66629696,42858,1
28,6,6,solver,18,6.075142145,42935,1
29,6,6,solver,18,15.66928411,37927,1
0,6,6,solver,19,4.161122561,30310,1
1,6,6,solver,19,2.96803689,41016,1
2,6,6,solver,19,19.90835834,41242,1
3,6,6,solver,19,3.491086483,41642,1
4,6,6,solver,19,6.135112524,41385,1
5,6,6,solver,19,3.95912838,37774,1
6,6,6,solver,19,2.811061144,36957,1
7,6,6,solver,19,7.993116379,42042,1
8,6,6,solver,19,4.787102461,49053,1
9,6,6,solver,19,7.981137276,35699,1
10,6,6,solver,19,5.190152407,32610,1
11,6,6,solver,19,2.166121006,49682,1
12,6,6,solver,19,2.763053894,38181,1
13,6,6,solver,19,5.271179199,32130,1
14,6,6,solver,19,1.950060129,30130,1
15,6,6,solver,19,0.426994324,32192,1
16,6,6,solver,19,2.157959938,33630,1
17,6,6,solver,19,22.08258009,42412,1
18,6,6,solver,19,9.129625559,35612,1
19,6,6,solver,19,40.4017818,50043,1
20,6,6,solver,19,4.522104502,32221,1
21,6,6,solver,19,25.69824219,49160,1
22,6,6,solver,19,4.009290934,36813,1
23,6,6,solver,19,5.924845695,31450,1
24,6,6,solver,19,11.56630063,39501,1
25,6,6,solver,19,13.70896888,33281,1
26,6,6,solver,19,13.4597826,40477,1
27,6,6,solver,19,16.51893401,42858,1
28,6,6,solver,19,6.488135815,42935,1
29,6,6,solver,19,15.64627624,37927,1
0,6,6,solver,20,4.125075102,30310,1
1,6,6,solver,20,3.102077961,41016,1
2,6,6,solver,20,20.20642543,41242,1
3,6,6,solver,20,3.506068468,41642,1
4,6,6,solver,20,6.208191872,41385,1
5,6,6,solver,20,3.994395733,37774,1
6,6,6,solver,20,2.885094404,36957,1
7,6,6,solver,20,8.729020596,42042,1
8,6,6,solver,20,4.726177454,49053,1
